ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
NONYOE,1.32,516.429,CO[C@H]1O[C@H](C)[C@H]([C@@](C1)(C)N(=O)=O)O,4
NOPGIL,1.365,2454.978,CN1C=C(c2ccc(cc2)N(=O)=O)c2ccccc12,61
NOPHKN,1.474,1226.988,O=C(c1ccc(cc1)N(=O)=O)c1ccc(cc1)N(=O)=O,2
NOPHKN01,1.494,2420.557,O=C(c1ccc(cc1)N(=O)=O)c1ccc(cc1)N(=O)=O,43
NOPLUA,1.481,2594.006,CC(=O)c1cc2cccc3ccc4ccc(c1c4c23)N(=O)=O,61
NOPROA,1.589,995.379,OC(=O)CCN(=O)=O,15
NOPTUK,1.343,1792.656,O=N(=O)C1=C(/C(=C\N2CCCC2)/c2ccccc2)c2c(OC1=O)cccc2,14
NOQBOM,1.242,2019.273,O=N(=O)C[C@H]([C@H](/C(=C\1/C(=NN(C1=O)c1ccccc1)C)/C)C)c1ccccc1,4
NOQVUL,1.385,2208.193,CC1=CC=C(O1)/C=N/c1cccc(c1)N(=O)=O,29
NORCED,1.486,1942.149,O=N(=O)c1cccc(Oc2ncccn2)c1,60
NORDEE,1.393,1389.393,O=N(=O)c1ccc(Oc2ccc(cc2)c2ccccc2)cc1,14
NORPUG,1.431,1245.062,CC(C)COC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,14
NOSLEM,1.284,1594.421,Nc1cc(c(cc1N1CCOCC1)N1CCOCC1)N(=O)=O,19
NOSQIY,1.407,1223.57,O=C(c1ccc(cc1)N(=O)=O)O[C@H]1C[C@@H]2C[C@H]1C=C2,14
NOTFEJ,1.233,4758.202,CN(c1ccc(cc1)/C=C/[C@@]12Oc3ccc(cc3CN1c1c(C2(C)C)cccc1)N(=O)=O)C,15
NOTNAO,1.225,744.032,CC[C@@H]([C@H]1Nc2c(C31CCCCC3)cccc2)N(=O)=O,4
NOTPEU,1.34,1567.898,Nc1c(cc(c2ccccc2)c(c2cccnc2)c1N(=O)=O)C#N,14
NOTPIY,1.329,1826.567,Nc1c(cc(c2ccccc2)c(c2ccc3ccccc3c2)c1N(=O)=O)C#N,2
NOTRAP,1.371,2541.414,CC[C@@]1(CCC(=O)NC1=O)c1ccc(cc1)N(=O)=O,19
NOTRIZ,1.354,1762.605,COc1ccc(cc1)c1ccc(cc1)C(=O)/C=C/c1cccc(c1)N(=O)=O,2
NOTRUJ,1.586,1190.369,O=C(c1ccc(cc1)N(=O)=O)C1=C([O-])[O+]=C2C=CC=CN12,14
NOVHIR,1.356,956.058,COc1ccc(cc1)N1C(=O)[C@@H]([C@@H]1c1ccc(cc1)N(=O)=O)Oc1ccccc1,2
NOXBZA,1.614,753.477,OOC(=O)c1ccccc1N(=O)=O,14
NOXBZP10,1.574,772.829,OOC(=O)c1ccc(cc1)N(=O)=O,19
NOYGIR,1.643,681.51,COc1cc(c(OC)c2ccccc12)C(N(=O)=O)(N(=O)=O)N(=O)=O,2
NOYGOX,1.641,1117.962,COC1=CC(C(=O)c2ccccc12)=C(N(=O)=O)N(=O)=O,33
NOZWEH,1.521,1730.949,CC1=CN(Cc2cccc(c2)N(=O)=O)C(=O)N(Cc2cccc(c2)N(=O)=O)C1=O,33
NOZZAD,1.332,1662.556,COC(=O)C([C@@H](C(N(=O)=O)(C)C)[C@H]1COC(O1)(C)C)C(=O)OC,19
