ccdc_id,CHIRAL SMILES
YAXWUT,O=N(=O)c1cccc(c1)/C=C/C(=O)c1ccccc1N(=O)=O
YUNXOU01,O=N(=O)c1ccc(CCc2ccc(cc2)N(=O)=O)cc1
ZAKREM,C=C1CC[C@H]2N([C@@]2(CC[C@@H]2[C@@H]1CC2(C)C)C)c1ccc(cc1)N(=O)=O
ZAKVEQ,O=N(=O)c1c(ccc2cccnc12)N1c2ccccc2c2ccccc12
ZAKVOA,Cc1ccc2c(ccc(c2n1)C(C)(C)C)N(=O)=O
ZAMLEI,O=N(=O)[C@@H]1C[C@@]2(C(=O)[C@@]1(O)c1ccccc1C2=O)Cc1ccccc1
ZAMLIM,O=N(=O)[C@@H]1C[C@@]2(C(=O)[C@@]1(O)c1ccccc1C2=O)Cc1ccc(cc1)N(=O)=O
ZAMLOS,CC[C@]1(C[C@]2(C(=O)[C@]1(O)c1ccccc1C2=O)Cc1ccccc1)N(=O)=O
ZAPPEP,O=C1Oc2ccccc2C2=C1C(=C(NC1CCCCC1)O2)c1ccccc1N(=O)=O
ZASCOP,O=CC[C@@H](c1ccc(cc1)N(=O)=O)CC=C1CCCCC1
ZATFAF,O=N(=O)C(C1=NC(=NO1)/N=N/C1=NOC(=N1)C(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
ABAFAO,COc1ccccc1[C@H]([C@@]1(C(=NN(C1=O)c1ccccc1)C)[C@]1(C(=NN(C1=O)c1ccccc1)C)[C@@H](c1ccccc1OC)CN(=O)=O)CN(=O)=O
ABAGIV,C/C(=N\Nc1ccccc1C)/c1cccc(c1)N(=O)=O
ABAHIW,CC(C)OC(=O)c1ccc(cc1)N(=O)=O
ABANAU,COC(=O)C(c1ccc(cc1N(=O)=O)N(=O)=O)c1ccc(cc1N(=O)=O)N(=O)=O
ABATOP,CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)N(=O)=O)=C1C(=O)c2ccccc2C1=O
ABAVEG,O/N=C/c1cc(cc(c1O)N(=O)=O)C(C)(C)C
ABAWEH,O/N=C/c1cc(cc(c1O)N(=O)=O)C(CC(C)(C)C)(C)C
