refcode,mlp_method,gaff_method,status,mlp_energy_kJ_mol,gaff_energy_kJ_mol,mlp_rmsd,gaff_rmsd,mlp_max_abs_stress_GPa,gaff_max_abs_stress_GPa,mlp_status,gaff_status
ACAMEW,mace,gaff_mace,ok,-27975.103346986438,-28019.964467491827,0.15855789,,0.135936619351,0.0147097697025,timeout_match,error: StructureMatcher did not find a match
ACAMEW,maceoff,gaff_maceoff,ok,-29202.0033985,-29202.37977075,0.05441471,,0.0417116751297,0.0124280072828,match,error: StructureMatcher did not find a match
ACAMEW,uma,gaff_uma,ok,-27854.20054422669,-27873.140976742492,0.02361715,0.14190955,0.00672170784961,0.00814532500895,match,match
ACAMIA,mace,gaff_mace,ok,-31306.515004066827,-31302.429718619398,0.25553038,0.17547934,0.168628825266,0.0338309909955,mismatch,match
ACAMIA,maceoff,gaff_maceoff,missing_energy,,,0.11068960,0.12476675,0.00254655836125,,match,timeout_match
ACAMIA,uma,gaff_uma,ok,-31188.721971804083,-31188.333755029842,0.05220997,0.13316482,0.00505835689302,,match,timeout_match
ACAMOX,mace,gaff_mace,ok,-9280.747480539776,-9272.752127008047,0.09337358,0.16824934,0.12812088489,0.0594663851603,match,match
ACAMOX,maceoff,gaff_maceoff,ok,-9343.576608,-9343.387504,0.04301513,,,0.0987443111762,timeout_match,error: StructureMatcher did not find a match
ACAMOX,uma,gaff_uma,ok,-9250.290052233746,-9235.3294708187,0.02322326,0.17087580,,0.0652706405692,match,match
ACANIB,mace,gaff_mace,ok,-32468.94896222995,-32465.383998057325,0.11105395,0.17646564,,0.0281903840667,timeout_match,match
ACANIB,maceoff,gaff_maceoff,ok,-32851.077691,-32851.092173,0.05274720,0.13896766,0.0235124471777,0.0265014510063,match,match
ACANIB,uma,gaff_uma,ok,-32328.54476123344,-32327.067522555968,0.03521558,0.09316812,0.00574666509072,0.033084054391,match,match
ACANOH,mace,gaff_mace,ok,-14947.055859973967,-14948.011571309982,0.11138733,0.08194430,0.143124366671,0.0524294375675,match,match
ACANOH,maceoff,gaff_maceoff,ok,-21112.6468305,-21112.6527915,0.04793331,0.05017866,0.163066788562,0.0409962853418,match,match
ACANOH,uma,gaff_uma,ok,-14958.760109672516,-14958.972859829848,0.01539643,0.05763913,,0.0467766393621,match,match
ACEDOE,mace,gaff_mace,ok,-14892.651423510926,-14891.561404592598,0.08375425,0.06963436,0.169639080857,0.0349725551931,match,match
ACEDOE,maceoff,gaff_maceoff,ok,-21215.98851225,-21215.99195975,0.04567978,0.06605425,0.0184143077592,0.019101488905,match,match
ACEDOE,uma,gaff_uma,ok,-14819.11614072914,-14818.965865553098,0.03105427,0.02488505,0.166219685373,,match,match
ACEFIZ,mace,gaff_mace,ok,-18568.317390671324,-18568.7922673547,0.18349208,,0.410623648545,0.0475954156699,timeout_match,error: StructureMatcher did not find a match
ACEFIZ,maceoff,gaff_maceoff,ok,-22781.59020525,-22781.57579775,0.06310994,0.19697180,0.147736420617,0.0394703557439,match,match
ACEFIZ,uma,gaff_uma,ok,-18496.807962165465,-18485.892600663687,0.01360420,0.21240443,,0.0425219234316,match,match
ACEMUR,mace,gaff_mace,ok,-22432.867988869562,-22432.273542738352,0.10593869,0.07709519,0.124586948759,0.0237383951406,match,match
ACEMUR,maceoff,gaff_maceoff,ok,-32939.819713,-32939.8114125,0.02509512,0.03547327,0.0242917024207,0.0299652662961,match,match
ACEMUR,uma,gaff_uma,ok,-22351.392156224694,-22351.550392169374,0.02209796,0.02181049,0.133945568672,,match,match
ACENIH,mace,gaff_mace,ok,-22675.02767143661,-22670.821803445357,0.09618389,0.17824662,0.03497710623,0.0599562557911,match,match
ACENIH,maceoff,gaff_maceoff,ok,-37952.0731525,-37952.0093025,0.06964597,0.12952093,0.0286153978833,0.0622897170593,match,match
ACENIH,uma,gaff_uma,ok,-22593.000376875993,-22586.07434615885,0.02209354,0.10844559,0.0327224451304,0.0535421847485,match,match
ACENUS,mace,gaff_mace,ok,-17510.070850996242,-17510.025261676816,0.15424300,0.14279733,0.165895144214,0.0291099243424,match,match
ACENUS,maceoff,gaff_maceoff,ok,-21309.79726575,-21309.79766875,0.06854701,0.08232524,0.0313251949875,0.0336588015235,match,match
ACENUS,uma,gaff_uma,ok,-17476.041005025683,-17476.106518566194,0.00991368,0.04603100,,0.0326475022354,match,match
ACEOXM,mace,gaff_mace,ok,-6517.7073002127045,-6521.197978720038,0.18398908,0.11310897,0.172513471017,0.0449940877255,match,match
ACEOXM,maceoff,gaff_maceoff,excluded,,,,0.08457069,0.093535869027,0.0690277412739,error: StructureMatcher did not find a match,match
ACEOXM,uma,gaff_uma,ok,-6512.283312943839,-6512.6752685247,0.04453857,0.07265255,0.169035154526,0.066897039414,match,match
ACEOXM01,mace,gaff_mace,ok,-6530.098814931967,-6531.277318940299,0.12047890,,0.138936592018,0.0662540702223,match,error: StructureMatcher did not find a match
